City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
310,mehamn,20,NO,1517350800,73,71.03,27.85,23.0,13.87
311,ancud,8,CL,1517354983,72,-41.87,-73.83,54.31,4.92
312,estelle,75,US,1517354100,20,32.87,-97.01,64.4,20.8
313,ryotsu,90,JP,1517354220,100,38.08,138.43,32.0,9.17
314,inhambane,0,MZ,1517354985,99,-23.87,35.38,76.09,9.73
315,san carlos de bariloche,0,AR,1517353200,42,-41.13,-71.31,57.2,23.04
316,cidreira,76,BR,1517354986,82,-30.17,-50.22,73.34,14.54
317,terrace bay,90,CA,1517349600,78,48.78,-87.1,10.4,6.93
318,imbituba,40,BR,1517353200,88,-28.24,-48.67,73.4,8.05
319,pyay,0,MM,1517354988,89,18.82,95.22,50.48,2.24
320,okato,12,NZ,1517354988,90,-39.19,173.88,71.36,18.01
321,lerwick,92,GB,1517352600,87,60.15,-1.15,44.6,26.4
322,kennett,40,US,1517352960,51,36.24,-90.06,37.4,5.03
323,nome,1,US,1517354100,28,30.04,-94.42,59.0,4.7
324,caravelas,36,BR,1517354991,99,-17.73,-39.27,81.58,24.94
325,grand gaube,40,MU,1517353200,83,-20.01,57.66,80.6,5.82
326,nanortalik,0,GL,1517354992,98,60.14,-45.24,25.46,31.76
327,portland,90,US,1517354220,70,45.52,-122.67,50.0,3.8
328,funadhoo,64,MV,1517354994,100,6.15,73.27,81.58,5.14
329,smithers,90,CA,1517353200,80,54.78,-127.17,33.8,5.82
330,la ronge,90,CA,1517349600,70,55.1,-105.3,-0.41,10.29
331,luderitz,12,NA,1517353200,88,-26.65,15.16,66.2,13.87
332,wellington,20,NZ,1517351400,69,-41.29,174.78,75.2,18.34
333,shellbrook,75,CA,1517349600,65,53.22,-106.39,6.8,19.46
334,sungairaya,20,ID,1517354997,93,0.7,108.9,76.13,4.14
335,ati,0,TD,1517354998,25,13.21,18.34,63.26,13.2
336,husavik,68,CA,1517354998,84,50.56,-96.99,24.43,20.69
337,saint-denis,90,FR,1517353200,93,48.94,2.36,50.0,10.29
338,usinsk,68,RU,1517355000,88,66.0,57.56,11.74,8.39
339,conceicao da barra,68,BR,1517355001,84,-18.59,-39.73,81.76,19.8
340,samarai,8,PG,1517355001,93,-10.62,150.67,85.9,20.02
341,millau,90,FR,1517353200,93,44.1,3.08,41.0,2.24
342,vestmannaeyjar,80,IS,1517355007,100,63.44,-20.27,32.17,11.63
343,mao,20,DO,1517353200,65,19.55,-71.08,80.6,4.7
344,marovoay,40,MG,1517353200,88,-16.11,46.64,77.0,5.59
345,sheridan,75,US,1517353080,20,39.65,-105.03,66.2,12.86
346,rawson,0,AR,1517355011,19,-43.3,-65.11,67.04,21.25
347,santa maria,20,BR,1517349600,61,-29.69,-53.81,80.6,9.17
